record_id_1,record_id_2,ground_truth_similar,predicted_similar_before,score_before,error_before,predicted_similar_after,score_after,error_after
001f012c-ca37-4197-a90a-60866f60e2ac,1831aa85-56d7-4595-887d-ca8281824f3b,False,False,0.0,,True,1.0,
001f012c-ca37-4197-a90a-60866f60e2ac,1fde39b3-3d62-491b-8d22-b879e0768259,True,True,1.0,,True,1.0,
001f012c-ca37-4197-a90a-60866f60e2ac,23904e6f-0a17-4634-8c1e-b94be5c7435c,True,True,1.0,,True,1.0,
001f012c-ca37-4197-a90a-60866f60e2ac,641054bb-00e5-4b91-a5d9-de913b9dca51,False,False,0.0,,True,1.0,
001f012c-ca37-4197-a90a-60866f60e2ac,82d3ff78-235e-42bb-88b1-9dfae4cf93c9,True,True,1.0,,True,1.0,
001f012c-ca37-4197-a90a-60866f60e2ac,87c9566c-09ea-42c6-af63-43485740b135,False,False,0.0,,True,1.0,
001f012c-ca37-4197-a90a-60866f60e2ac,a8e18a3c-f545-4f6c-a862-b31b9f52a4b4,True,True,1.0,,True,1.0,
001f012c-ca37-4197-a90a-60866f60e2ac,c683f115-07a3-414a-9ab1-2700c36a4854,False,False,0.0,,True,1.0,
001f012c-ca37-4197-a90a-60866f60e2ac,d92eda48-d452-479f-8b25-fb864ec251e2,False,False,0.0,,True,1.0,
001f012c-ca37-4197-a90a-60866f60e2ac,e9a50d70-8d9e-412a-99d8-84a7d1213daf,False,False,0.0,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,127515fc-692e-463d-b039-70ffbc91ce3a,False,False,0.0,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,13cdc987-3839-429f-9a9f-dc2c9de1ab8e,True,True,0.9,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,19ffaa57-1606-4ad2-b75c-310ceb9ecc9b,False,False,0.0,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,3c4087d8-c28b-496a-b220-d224bf18b85a,False,False,0.0,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,3fdc52df-90de-4f8f-b2f4-d378a5fdec5f,False,False,0.0,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,40c6eb26-1209-4f7f-a7c8-fa7924fcdf00,False,False,0.0,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,4334e1d8-7249-4790-b4ae-f2fed04bba0a,False,False,0.0,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,4ef3da21-c6b7-4c0e-9b9b-bc8eae397e01,False,False,0.0,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,5a00b48b-61ce-4d06-9101-c518b4f69a8f,False,False,0.0,,True,1.0,
004c33ff-a557-4c04-9ee4-84eb85e292d9,ad998dd0-1bee-4777-ac91-7d00437c0030,False,False,0.0,,True,1.0,
008615ef-1e88-4ba9-b77a-84c6d457997d,0d81cac0-a9af-488c-bfd2-76476383e36b,False,False,0.0,,True,1.0,
008615ef-1e88-4ba9-b77a-84c6d457997d,208a14ec-9beb-4a4f-b99e-85ff6c5126f5,False,False,0.0,,True,1.0,
008615ef-1e88-4ba9-b77a-84c6d457997d,2c969959-b366-47ee-b2e5-fc86f6f615fd,False,False,0.0,,True,1.0,
008615ef-1e88-4ba9-b77a-84c6d457997d,2dab53ca-f070-4ea4-8cbe-881c375f1148,False,False,0.0,,True,1.0,
008615ef-1e88-4ba9-b77a-84c6d457997d,36c0074f-4a76-425e-88d9-8ac59b924ce7,False,False,0.0,,True,1.0,
008615ef-1e88-4ba9-b77a-84c6d457997d,852dd3eb-3535-44fe-b9c2-ac7393ba571c,False,False,0.0,,True,1.0,
008615ef-1e88-4ba9-b77a-84c6d457997d,89593100-97b8-46e6-b3c2-e444ad0f51ec,False,False,0.0,,True,1.0,
008615ef-1e88-4ba9-b77a-84c6d457997d,8ef74595-24d2-4a2a-b89f-69b52ec46ae1,False,False,0.0,,True,1.0,
